Descriptores de cuentas usados en reportes MR1

Periodo: Año 2022 - Mes: Octubre

CUENTA	GLOSA
476800300	          Deterioro de activos financieros con deterioro crediticio (fase 3)
476800301	               Derechos por pactos de retroventa
476800302	               Instrumentos financieros de deuda emitidos en el país
476800303	               Instrumentos financieros de deuda emitidos en el exterior
476800309	               Otros instrumentos financieros
580000000	RESULTADO OPERACIONAL
585000000	RESULTADO DE OPERACIONES CONTÍNUAS ANTES DE IMPUESTOS
480000000	IMPUESTO A LA RENTA
481000000	     Provisión impuesto a la renta
482000000	     Impuestos diferidos
489000000	     Otros
586000000	RESULTADO DE OPERACIONES CONTÍNUAS DESPUÉS DE IMPUESTOS
587000000	RESULTADO DE OPERACIONES DISCONTINUADAS ANTES DE IMPUESTOS
587500000	IMPUESTOS DE OPERACIONES DISCONTINUADAS
587750000	RESULTADO DE OPERACIONES DISCONTINUADAS DESPUÉS DE IMPUESTOS
590000000	UTILIDAD (PÉRDIDA) DEL EJERCICIO (O PERIODO)
594000000	RESULTADO DE LOS PROPIETARIOS
598000000	RESULTADO DEL INTERES NO CONTROLADOR
601000000	ELEMENTOS QUE NO SE RECLASIFICARÁN EN RESULTADOS
601000100	Nuevas mediciones del pasivo (activo) por beneficios definidos neto y resultados actuariales por otros planes de beneficios al personal
601000200	          Cambios netos del valor razonable de instrumentos de patrimonio designados a valor razonable con cambios en otro resultado integral
601000201	               Cambios del valor razonable de instrumentos de patrimonio designados a valor razonable con cambios en otro resultado integral
601000202	               Resultado por venta de participaciones en instrumentos de patrimonio (acciones) por inversiones minoritarias en sociedades en el país.
601000203	               Resultado por venta de participaciones en instrumentos de patrimonio (acciones) por inversiones minoritarias en sociedades en el exterior.
601000209	               Otros
601000300	          Cambios del valor razonable de pasivos financieros designados a valor razonable con cambios en resultados atribuibles a cambios en el riesgo de crédito del pasivo financiero
601000400	          Participación en otro resultado integral de entidades registradas según el método de participación
601000500	          Activos no corrientes y grupos enajenables para la venta
601000900	          Otros
601500000	OTROS RESULTADOS INTEGRALES QUE NO SE RECLASIFICARÁN AL RESULTADO ANTES DE IMPUESTOS
601750000	     Impuesto a la renta sobre otros resultados integrales que no se reclasificarán al resultado
601800000	TOTAL OTROS RESULTADOS INTEGRALES QUE NO SE RECLASIFICARÁN AL RESULTADO DESPUÉS DE IMPUESTOS
602000000	ELEMENTOS QUE PUEDEN RECLASIFICARSE EN RESULTADOS
602000100	          Cambios del valor razonable de activos financieros a valor razonable con cambios en otro resultado integral
602000200	          Diferencias de conversión por entidades en el exterior
602000300	          Cobertura contable de inversiones netas en entidades en el exterior
602000400	          Cobertura contable de flujo de efectivo
602000500	          Elementos no designados de instrumentos de cobertura contable
602000600	          Participación en otro resultado integral de entidades registradas según el método de participación
602000700	          Activos no corrientes y grupos enajenables para la venta
602000900	          Otros
602500000	OTROS RESULTADOS INTEGRALES QUE PUEDEN RECLASIFICARSE EN RESULTADOS ANTES DE IMPUESTOS
602750000	     Impuesto a la renta sobre otros resultados integrales que pueden reclasificarse en resultados
602800000	TOTAL OTROS RESULTADOS INTEGRALES QUE PUEDEN RECLASIFICARSE EN RESULTADOS DESPUÉS DE IMPUESTOS
603000000	OTRO RESULTADO INTEGRAL TOTAL DEL EJERCICIO (o PERIODO)
690000000	RESULTADO INTEGRAL DEL EJERCICIO (o PERIODO) 
694000000	RESULTADO INTEGRAL DE LOS PROPIETARIOS
698000000	RESULTADO INTEGRAL DEL INTERES NO CONTROLADOR

Notas:
Más información sobre este archivo en Compendio de Normas Contables CMF Bancos, Capítulo C-3
http://www.cmfchile.cl/portal/principal/605/w3-propertyvalue-29911.html
Manual de Sistema de Información - Bancos, Sistema Contable
http://www.cmfchile.cl/portal/principal/605/w3-propertyvalue-29915.html
RAN Recopilación Actualizada de Normas de Bancos
https://www.cmfchile.cl/portal/principal/613/w3-propertyvalue-29580.html
